,Postalcode,Borough,Neighborhood
0,M3A,North York,['Parkwoods']
1,M4A,North York,['Victoria Village']
2,M5A,Downtown Toronto,"['Regent Park', 'Harbourfront']"
3,M6A,North York,"['Lawrence Manor', 'Lawrence Heights']"
4,M9A,Etobicoke,['Islington Avenue']
5,M1B,Scarborough,"['Malvern', 'Rouge']"
6,M3B,North York,['Don Mills']
7,M4B,East York,"['Parkview Hill', 'Woodbine Gardens']"
8,M5B,Downtown Toronto,"['Garden District', 'Ryerson']"
9,M9B,Etobicoke,"['West Deane Park', 'Princess Gardens', 'Martin Grove', 'Islington']"
10,M1C,Scarborough,"['Rouge Hill', 'Port Union', 'Highland Creek']"
11,M3C,North York,"['Don Mills', 'Flemingdon Park']"
12,M4C,East York,['Woodbine Heights']
13,M5C,Downtown Toronto,['St. James Town']
14,M6C,York,['Humewood-Cedarvale']
15,M9C,Etobicoke,['Markland Wood']
16,M1E,Scarborough,"['Guildwood', 'Morningside', 'West Hill']"
17,M6E,York,['Caledonia-Fairbanks']
18,M1G,Scarborough,['Woburn']
19,M4G,East York,['Leaside']
20,M5G,Downtown Toronto,['Bay Street']
21,M1H,Scarborough,['Cedarbrae']
22,M2H,North York,['Hillcrest Village']
23,M3H,North York,"['Bathurst Manor', 'Wilson Heights', 'Downsview']"
24,M4H,East York,['Thorncliffe Park']
25,M5H,Downtown Toronto,"['Richmond', 'King']"
26,M6H,Dufferin,['Dovercourt Village']
27,M1J,Scarborough,['Scarborough Village']
28,M2J,North York,['Henry Farm']
29,M3J,North York,"['Northwood Park', 'York University']"
30,M4J,East York,['The Danforth']
31,M5J,Downtown Toronto,"['Harbourfront', 'Union Station', 'Toronto Islands']"
32,M6J,Little Portugal,['Trinity']
33,M1K,Scarborough,"['Kennedy Park', 'Ionview', 'Birchmount Park']"
34,M2K,North York,['Bayview Village']
35,M3K,North York,"['Downsview', 'CFB Toronto']"
36,M4K,The Danforth,['Riverdale']
37,M5K,Downtown Toronto,"['Toronto Dominion Centre', 'Design Exchange']"
38,M6K,Brockton,"['Parkdale Village', 'Exhibition Place']"
39,M1L,Scarborough,"['Golden Mile', 'Clairlea', 'Oakridge']"
40,M2L,North York,['York Mills']
41,M3L,North York,['Downsview']
42,M4L,India Bazaar,['The Beaches']
43,M5L,Downtown Toronto,"['Commerce Court', 'Victoria Hotel']"
44,M6L,North York,['Maple Leaf Park']
45,M9L,North York,['Humber Summit']
46,M1M,Scarborough,"['Cliffside', 'Cliffcrest', 'Scarborough Village']"
47,M2M,North York,['Newtonbrook']
48,M3M,North York,['Downsview']
49,M5M,North York,"['Bedford Park', 'Lawrence Manor']"
50,M6M,York,"['Mount Dennis', 'Keelsdale and Silverthorn']"
51,M9M,North York,"['Humberlea', 'Emery']"
52,M1N,Scarborough,"['Birch Cliff', 'Cliffside']"
53,M2N,North York,['Willowdale']
54,M3N,North York,['Downsview']
55,M6N,York,"['Runnymede', 'The Junction']"
56,M9N,York,['Weston']
57,M1P,Scarborough,"['Dorset Park', 'Wexford Heights', 'Scarborough Town Centre']"
58,M2P,North York,['York Mills']
59,M6P,High Park,['The Junction']
60,M1R,Scarborough,"['Wexford', 'Maryvale']"
61,M2R,North York,['Willowdale']
62,M5R,The Annex,"['North Midtown', 'Yorkville']"
63,M6R,Parkdale,['Roncesvalles']
64,M9R,Etobicoke,['Kingsview Village']
65,M1S,Scarborough,['Agincourt']
66,M5S,Downtown Toronto,['University of Toronto']
67,M6S,Runnymede,['Swansea']
68,M1T,Scarborough,"[""Tam O'Shanter"", 'Sullivan']"
69,M4T,Moore Park,['Summerhill']
70,M5T,Downtown Toronto,"['Kensington Market', 'Chinatown', 'Grange Park']"
71,M1V,Scarborough,"['Milliken', 'Agincourt North', 'Steeles', ""L'Amoreaux""]"
72,M4V,Summerhill,"['Rathnelly', 'South Hill', 'Forest Hill', 'Deer Park']"
73,M5V,Downtown Toronto,"['CN Tower', 'King and Spadina', 'Railway Lands', 'Harbourfront', 'South Niagara', 'Island airport']"
74,M8V,Etobicoke,"['New Toronto', 'Mimico']"
75,M9V,Etobicoke,"['South Steeles', 'Silverstone', 'Jamestown', 'Mount Olive', 'Beaumond Heights', 'Thistletown']"
76,M1W,Scarborough,"['Steeles', ""L'Amoreaux""]"
77,M4W,Downtown Toronto,['Rosedale']
78,M8W,Etobicoke,"['Alderwood', 'Long Branch']"
79,M9W,Etobicoke,"['Clairville', 'Humberwood', 'Woodbine Downs', 'Rexdale', 'Elms']"
80,M1X,Scarborough,['Upper Rouge']
81,M4X,Downtown Toronto,"['St. James Town', 'Cabbagetown']"
82,M5X,Downtown Toronto,"['First Canadian Place', 'Underground city']"
83,M8X,Etobicoke,"['The Kingsway', 'Old Mill']"
84,M4Y,Downtown Toronto,['Church and Wellesley']
85,M8Y,Etobicoke,"['Old Mill', 'Sunnylea', 'Humber Bay', 'Mimico', 'The Queensway']"
86,M8Z,Etobicoke,"['Mimico', 'The Queensway']"
